S No,PS No,LOCATION,Nature,Refined PS,Year,Election,Party,Alliance,Votes
1,1,ஆனந்தகுடி,வருவாய் கிராமம் ,1,2014,LS,ADMK,ADMK+,238
2,2,கொக்கரசன்பேட்டை,வருவாய் கிராமம் ,2,2014,LS,ADMK,ADMK+,328
3,3,மதகளிர் மாணிக்கம்,வருவாய் கிராமம் ,3,2014,LS,ADMK,ADMK+,230
4,4,எசனூர்,வருவாய் கிராமம் ,4,2014,LS,ADMK,ADMK+,170
5,5,குணமங்கலம்,வருவாய் கிராமம் ,5,2014,LS,ADMK,ADMK+,99
6,6,குணமங்கலம்,வருவாய் கிராமம் ,6,2014,LS,ADMK,ADMK+,181
7,7,குணமங்கலம்,வருவாய் கிராமம் ,7,2014,LS,ADMK,ADMK+,163
8,8,கள்ளிப்பாடி,வருவாய் கிராமம் ,8,2014,LS,ADMK,ADMK+,217
9,9,ஸ்ரீபுத்தூர்,வருவாய் கிராமம் ,9,2014,LS,ADMK,ADMK+,119
10,10,அம்புஜவல்லி பேட்டை,வருவாய் கிராமம் ,10,2014,LS,ADMK,ADMK+,152
11,11,நகரப்பாடி,வருவாய் கிராமம் ,11,2014,LS,ADMK,ADMK+,128
12,12,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,12,2014,LS,ADMK,ADMK+,306
13,13,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,13,2014,LS,ADMK,ADMK+,304
14,14,கூடலையாத்தூர்,வருவாய் கிராமம் ,14,2014,LS,ADMK,ADMK+,186
15,15,காவாலக்குடி,வருவாய் கிராமம் ,15,2014,LS,ADMK,ADMK+,234
16,16,காவாலக்குடி,வருவாய் கிராமம் ,16,2014,LS,ADMK,ADMK+,137
17,17,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,17,2014,LS,ADMK,ADMK+,250
18,18,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,18,2014,LS,ADMK,ADMK+,73
19,19,மழவராயநல்லூர்,வருவாய் கிராமம் ,19,2014,LS,ADMK,ADMK+,253
20,20,மழவராயநல்லூர்,வருவாய் கிராமம் ,20,2014,LS,ADMK,ADMK+,63
21,21,குமாரக்குடி,வருவாய் கிராமம் ,22,2014,LS,ADMK,ADMK+,220
22,22,கோதண்டவிளாகம்,வருவாய் கிராமம் ,23,2014,LS,ADMK,ADMK+,90
23,23,நங்குடி,வருவாய் கிராமம் ,25,2014,LS,ADMK,ADMK+,291
24,24,விழுபெருந்துறை,வருவாய் கிராமம் ,26,2014,LS,ADMK,ADMK+,251
25,25,வட்டத்தூர்,வருவாய் கிராமம் ,27,2014,LS,ADMK,ADMK+,171
26,26,வட்டத்தூர்,வருவாய் கிராமம் ,28,2014,LS,ADMK,ADMK+,149
27,27,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,29,2014,LS,ADMK,ADMK+,101
28,28,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,30,2014,LS,ADMK,ADMK+,123
29,29,வலசக்காடு,வருவாய் கிராமம் ,31,2014,LS,ADMK,ADMK+,302
30,30,வலசக்காடு,வருவாய் கிராமம் ,32,2014,LS,ADMK,ADMK+,304
31,31,பேரூர்,வருவாய் கிராமம் ,33,2014,LS,ADMK,ADMK+,247
32,32,பேரூர்,வருவாய் கிராமம் ,34,2014,LS,ADMK,ADMK+,312
33,33,கானூர்,வருவாய் கிராமம் ,35,2014,LS,ADMK,ADMK+,325
34,34,கானூர்,வருவாய் கிராமம் ,36,2014,LS,ADMK,ADMK+,332
35,35,சாத்தவட்டம்,வருவாய் கிராமம் ,37,2014,LS,ADMK,ADMK+,236
36,36,தேத்தாம்பட்டு,வருவாய் கிராமம் ,38,2014,LS,ADMK,ADMK+,241
37,37,தேத்தாம்பட்டு,வருவாய் கிராமம் ,39,2014,LS,ADMK,ADMK+,328
38,38,ஸ்ரீமுஷ்ணம்,வருவாய் கிராமம் ,40,2014,LS,ADMK,ADMK+,226
39,39,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,41,2014,LS,ADMK,ADMK+,261
40,40,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,42,2014,LS,ADMK,ADMK+,247
41,41,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,43,2014,LS,ADMK,ADMK+,249
42,42,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,44,2014,LS,ADMK,ADMK+,275
43,43,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,45,2014,LS,ADMK,ADMK+,280
44,44,ஸ்ரீ புதுக்குப்பம்,வருவாய் கிராமம் ,47,2014,LS,ADMK,ADMK+,511
45,45,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,48,2014,LS,ADMK,ADMK+,419
46,46,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,49,2014,LS,ADMK,ADMK+,416
47,47,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,50,2014,LS,ADMK,ADMK+,439
48,48,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,51,2014,LS,ADMK,ADMK+,301
49,49,ஸ்ரீமுஷ்ணம்,ஸ்ரீமுஷ்ணம் பேரூராட்சி ,52,2014,LS,ADMK,ADMK+,372
50,50,மேல்புளியங்குடி,வருவாய் கிராமம் ,53,2014,LS,ADMK,ADMK+,280
51,51,மேல்புளியங்குடி,வருவாய் கிராமம் ,54,2014,LS,ADMK,ADMK+,305
52,52,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,55,2014,LS,ADMK,ADMK+,367
53,53,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,56,2014,LS,ADMK,ADMK+,297
54,54,ஸ்ரீ ஆதிவராகநல்லூர்,வருவாய் கிராமம் ,57,2014,LS,ADMK,ADMK+,193
55,55,நாச்சியார்பேட்டை,வருவாய் கிராமம் ,58,2014,LS,ADMK,ADMK+,148
56,56,கொழை,வருவாய் கிராமம் ,59,2014,LS,ADMK,ADMK+,141
57,57,கொழை,வருவாய் கிராமம் ,60,2014,LS,ADMK,ADMK+,268
58,58,கொழை,வருவாய் கிராமம் ,61,2014,LS,ADMK,ADMK+,304
59,59,கொழை,வருவாய் கிராமம் ,62,2014,LS,ADMK,ADMK+,205
60,60,வாளிஸ்பேட்டை,வருவாய் கிராமம் ,63,2014,LS,ADMK,ADMK+,283
61,61,ராமாபுரம்,வருவாய் கிராமம் ,65,2014,LS,ADMK,ADMK+,470
62,62,தண்டகாரன்குப்பம்,வருவாய் கிராமம் ,66,2014,LS,ADMK,ADMK+,183
63,63,பாளையங்கோட்டை,வருவாய் கிராமம் ,67,2014,LS,ADMK,ADMK+,190
64,64,பாளையங்கோட்டை,வருவாய் கிராமம் ,68,2014,LS,ADMK,ADMK+,187
65,65,பாளையங்கோட்டை,வருவாய் கிராமம் ,69,2014,LS,ADMK,ADMK+,384
66,66,பாளையங்கோட்டை,வருவாய் கிராமம் ,70,2014,LS,ADMK,ADMK+,315
67,67,வடக்குப்பாளையம்,வருவாய் கிராமம் ,71,2014,LS,ADMK,ADMK+,254
68,68,வடக்குப்பாளையம்,வருவாய் கிராமம் ,72,2014,LS,ADMK,ADMK+,117
69,69,வடக்குப்பாளையம்,வருவாய் கிராமம் ,73,2014,LS,ADMK,ADMK+,210
70,70,வடக்குப்பாளையம்,வருவாய் கிராமம் ,74,2014,LS,ADMK,ADMK+,177
71,71,சோழத்தரம்,வருவாய் கிராமம் ,75,2014,LS,ADMK,ADMK+,247
72,72,சோழத்தரம்,வருவாய் கிராமம் ,76,2014,LS,ADMK,ADMK+,224
73,73,சோழத்தரம்,வருவாய் கிராமம் ,77,2014,LS,ADMK,ADMK+,201
74,74,சோழத்தரம்,வருவாய் கிராமம் ,78,2014,LS,ADMK,ADMK+,176
75,75,சோழத்தரம்,வருவாய் கிராமம் ,79,2014,LS,ADMK,ADMK+,237
76,76,புடையூர்,வருவாய் கிராமம் ,80,2014,LS,ADMK,ADMK+,127
77,77,புடையூர்,வருவாய் கிராமம் ,81,2014,LS,ADMK,ADMK+,152
78,78,கலியமலை,வருவாய் கிராமம் ,82,2014,LS,ADMK,ADMK+,262
79,79,பூர்த்தங்குடி,வருவாய் கிராமம் ,83,2014,LS,ADMK,ADMK+,187
80,80,கந்தகுமாரன்,வருவாய் கிராமம் ,84,2014,LS,ADMK,ADMK+,98
81,81,ம. உத்தமசோழகன்,வருவாய் கிராமம் ,85,2014,LS,ADMK,ADMK+,25
82,82,கொள்ளுமேடு,வருவாய் கிராமம் ,86,2014,LS,ADMK,ADMK+,180
83,83,கொள்ளுமேடு,வருவாய் கிராமம் ,87,2014,LS,ADMK,ADMK+,58
84,84,இராயநல்லூர்,வருவாய் கிராமம் ,88,2014,LS,ADMK,ADMK+,287
85,85,ம. கொத்தங்குடி,வருவாய் கிராமம் ,89,2014,LS,ADMK,ADMK+,120
86,86,டி. புத்தூர்,வருவாய் கிராமம் ,90,2014,LS,ADMK,ADMK+,239
87,87,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,91,2014,LS,ADMK,ADMK+,129
88,88,ஆட்கொண்டநத்தம்,வருவாய் கிராமம் ,92,2014,LS,ADMK,ADMK+,88
89,89,செட்டிக்கட்டளை,வருவாய் கிராமம் ,93,2014,LS,ADMK,ADMK+,245
90,90,வடமூர்,வருவாய் கிராமம் ,94,2014,LS,ADMK,ADMK+,125
91,91,பரிவிளாகம்,வருவாய் கிராமம் ,95,2014,LS,ADMK,ADMK+,263
92,92,தெம்மூர்,வருவாய் கிராமம் ,96,2014,LS,ADMK,ADMK+,199
93,93,தெம்மூர்,வருவாய் கிராமம் ,97,2014,LS,ADMK,ADMK+,204
94,94,கூடுவெளிச்சாவடி,வருவாய் கிராமம் ,98,2014,LS,ADMK,ADMK+,133
95,95,கூடுவெளி,வருவாய் கிராமம் ,99,2014,LS,ADMK,ADMK+,156
96,96,மெய்யாத்தூர்,வருவாய் கிராமம் ,100,2014,LS,ADMK,ADMK+,458
97,97,கீழக்கரை,வருவாய் கிராமம் ,103,2014,LS,ADMK,ADMK+,355
98,98,நந்திமங்கலம்,வருவாய் கிராமம் ,104,2014,LS,ADMK,ADMK+,254
99,99,நளம்புத்தூர்,வருவாய் கிராமம் ,105,2014,LS,ADMK,ADMK+,61
100,100,அத்திப்பட்டு,வருவாய் கிராமம் ,106,2014,LS,ADMK,ADMK+,203
101,101,தெற்குமாங்குடி,வருவாய் கிராமம் ,107,2014,LS,ADMK,ADMK+,99
102,102,வடக்குமாங்குடி,வருவாய் கிராமம் ,108,2014,LS,ADMK,ADMK+,101
103,103,வடக்குமாங்குடி,வருவாய் கிராமம் ,109,2014,LS,ADMK,ADMK+,46
104,104,கருப்பூர்,வருவாய் கிராமம் ,110,2014,LS,ADMK,ADMK+,120
105,105,குமராட்சி,வருவாய் கிராமம் ,111,2014,LS,ADMK,ADMK+,234
106,106,குமராட்சி,வருவாய் கிராமம் ,112,2014,LS,ADMK,ADMK+,175
107,107,குமராட்சி,வருவாய் கிராமம் ,113,2014,LS,ADMK,ADMK+,244
108,108,குமராட்சி,வருவாய் கிராமம் ,114,2014,LS,ADMK,ADMK+,325
109,109,கிழவன்னியூர்,வருவாய் கிராமம் ,115,2014,LS,ADMK,ADMK+,154
110,110,மேலவன்னியூர்,வருவாய் கிராமம் ,116,2014,LS,ADMK,ADMK+,210
111,111,மேலவன்னியூர்,வருவாய் கிராமம் ,117,2014,LS,ADMK,ADMK+,244
112,112,சாட்டைமேடு,வருவாய் கிராமம் ,118,2014,LS,ADMK,ADMK+,139
113,113,எள்ளேரி,வருவாய் கிராமம் ,120,2014,LS,ADMK,ADMK+,367
114,114,எள்ளேரி,வருவாய் கிராமம் ,122,2014,LS,ADMK,ADMK+,238
115,115,நெய்வாசல்,வருவாய் கிராமம் ,123,2014,LS,ADMK,ADMK+,164
116,116,நெய்வாசல்,வருவாய் கிராமம் ,124,2014,LS,ADMK,ADMK+,143
117,117,மானியம் ஆடூர்,வருவாய் கிராமம் ,125,2014,LS,ADMK,ADMK+,196
118,118,மானியம் ஆடூர்,வருவாய் கிராமம் ,126,2014,LS,ADMK,ADMK+,246
119,119,நத்தமலை,வருவாய் கிராமம் ,127,2014,LS,ADMK,ADMK+,117
120,120,திருச்சின்னபுரம்,வருவாய் கிராமம் ,128,2014,LS,ADMK,ADMK+,271
121,121,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,129,2014,LS,ADMK,ADMK+,175
122,122,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,130,2014,LS,ADMK,ADMK+,102
123,123,கொல்லிமலை கீழ்பாதி,கொல்லிமலை கீழ்பாதி பேரூராட்சி ,131,2014,LS,ADMK,ADMK+,44
124,124,கொல்லிமலை கீழ்பாதி,லால்பேட்டை பேரூராட்சி ,132,2014,LS,ADMK,ADMK+,106
125,125,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,133,2014,LS,ADMK,ADMK+,205
126,126,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,134,2014,LS,ADMK,ADMK+,66
127,127,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,135,2014,LS,ADMK,ADMK+,138
128,128,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,136,2014,LS,ADMK,ADMK+,145
129,129,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,137,2014,LS,ADMK,ADMK+,97
130,130,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,138,2014,LS,ADMK,ADMK+,116
131,131,லால்பேட்டை,லால்பேட்டை பேரூராட்சி ,140,2014,LS,ADMK,ADMK+,208
132,132,ருத்தரசோலை,வருவாய் கிராமம் ,141,2014,LS,ADMK,ADMK+,228
133,133,சித்தமல்லி,வருவாய் கிராமம் ,142,2014,LS,ADMK,ADMK+,152
134,134,அகரபுத்தூர்,வருவாய் கிராமம் ,143,2014,LS,ADMK,ADMK+,147
135,135,அகரபுத்தூர்,வருவாய் கிராமம் ,144,2014,LS,ADMK,ADMK+,159
136,136,வானமாதேவி,வருவாய் கிராமம் ,145,2014,LS,ADMK,ADMK+,246
137,137,வானமாதேவி,வருவாய் கிராமம் ,146,2014,LS,ADMK,ADMK+,71
138,138,மாமங்கலம்,வருவாய் கிராமம் ,147,2014,LS,ADMK,ADMK+,340
139,139,மாமங்கலம்,வருவாய் கிராமம் ,148,2014,LS,ADMK,ADMK+,183
140,140,ஆண்டிபாளையம்,வருவாய் கிராமம் ,149,2014,LS,ADMK,ADMK+,432
141,141,கொண்டசமுத்திரம்,வருவாய் கிராமம் ,150,2014,LS,ADMK,ADMK+,123
142,142,கொண்டசமுத்திரம்,வருவாய் கிராமம் ,151,2014,LS,ADMK,ADMK+,145
143,143,அறந்தாங்கி,வருவாய் கிராமம் ,152,2014,LS,ADMK,ADMK+,230
144,144,அறந்தாங்கி,வருவாய் கிராமம் ,153,2014,LS,ADMK,ADMK+,321
145,145,அறந்தாங்கி,வருவாய் கிராமம் ,154,2014,LS,ADMK,ADMK+,236
146,146,கருணாகரநல்லூர்,வருவாய் கிராமம் ,155,2014,LS,ADMK,ADMK+,161
147,147,கருணாகரநல்லூர்,வருவாய் கிராமம் ,156,2014,LS,ADMK,ADMK+,124
148,148,நாட்டார்மங்கலம்,வருவாய் கிராமம் ,157,2014,LS,ADMK,ADMK+,148
149,149,நாட்டார்மங்கலம்,வருவாய் கிராமம் ,158,2014,LS,ADMK,ADMK+,148
150,150,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,159,2014,LS,ADMK,ADMK+,184
151,151,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,160,2014,LS,ADMK,ADMK+,92
152,152,மேல பழஞ்சநல்லூர்,வருவாய் கிராமம் ,161,2014,LS,ADMK,ADMK+,139
153,153,வீராணநல்லூர்,வருவாய் கிராமம் ,162,2014,LS,ADMK,ADMK+,181
154,154,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,163,2014,LS,ADMK,ADMK+,336
155,155,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,164,2014,LS,ADMK,ADMK+,306
156,156,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,165,2014,LS,ADMK,ADMK+,195
157,157,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,166,2014,LS,ADMK,ADMK+,234
158,158,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,167,2014,LS,ADMK,ADMK+,186
159,159,காட்டுமன்னார் கோயில்,காட்டுமன்னார் கோயில் பேரூராட்சி ,168,2014,LS,ADMK,ADMK+,191
160,160,உடையார்குடி,உடையார்குடி பேரூராட்சி ,169,2014,LS,ADMK,ADMK+,375
161,161,உடையார்குடி,உடையார்குடி பேரூராட்சி ,170,2014,LS,ADMK,ADMK+,381
162,162,உடையார்குடி,உடையார்குடி பேரூராட்சி ,171,2014,LS,ADMK,ADMK+,264
163,163,உடையார்குடி,உடையார்குடி பேரூராட்சி ,172,2014,LS,ADMK,ADMK+,210
164,164,உடையார்குடி,உடையார்குடி பேரூராட்சி ,173,2014,LS,ADMK,ADMK+,393
165,165,உடையார்குடி,உடையார்குடி பேரூராட்சி ,174,2014,LS,ADMK,ADMK+,298
166,166,உடையார்குடி,உடையார்குடி பேரூராட்சி ,175,2014,LS,ADMK,ADMK+,299
167,167,உடையார்குடி,உடையார்குடி பேரூராட்சி ,176,2014,LS,ADMK,ADMK+,325
168,168,உடையார்குடி,உடையார்குடி பேரூராட்சி ,177,2014,LS,ADMK,ADMK+,177
169,169,உடையார்குடி,உடையார்குடி பேரூராட்சி ,178,2014,LS,ADMK,ADMK+,205
170,170,திருமூலஸ்தானம்,திருமூலஸ்தானம் பேரூராட்சி ,179,2014,LS,ADMK,ADMK+,185
171,171,திருமூலஸ்தானம்,திருமூலஸ்தானம் பேரூராட்சி ,180,2014,LS,ADMK,ADMK+,253
172,172,ராஜேந்திரசோழகன்,ராஜேந்திரசோழகன் பேரூராட்சி ,181,2014,LS,ADMK,ADMK+,197
173,173,ராஜேந்திரசோழகன்,ராஜேந்திரசோழகன் பேரூராட்சி ,182,2014,LS,ADMK,ADMK+,237
174,174,ம. கொளக்குடி,வருவாய் கிராமம் ,184,2014,LS,ADMK,ADMK+,176
175,175,ம. கொளக்குடி,வருவாய் கிராமம் ,185,2014,LS,ADMK,ADMK+,226
176,176,ம. கொளக்குடி,வருவாய் கிராமம் ,186,2014,LS,ADMK,ADMK+,132
177,177,ம. கொளக்குடி,வருவாய் கிராமம் ,187,2014,LS,ADMK,ADMK+,201
178,178,சர்வராஜன் பேட்டை,வருவாய் கிராமம் ,188,2014,LS,ADMK,ADMK+,89
179,179,திருநாரையூர்,வருவாய் கிராமம் ,189,2014,LS,ADMK,ADMK+,352
180,180,திருநாரையூர்,வருவாய் கிராமம் ,190,2014,LS,ADMK,ADMK+,77
181,181,வீரநத்தம்,வருவாய் கிராமம் ,191,2014,LS,ADMK,ADMK+,263
182,182,சிறகிழந்தநல்லூர்,வருவாய் கிராமம் ,192,2014,LS,ADMK,ADMK+,346
183,183,வெண்ணையூர்,வருவாய் கிராமம் ,193,2014,LS,ADMK,ADMK+,134
184,184,வெண்ணையூர்,வருவாய் கிராமம் ,194,2014,LS,ADMK,ADMK+,76
185,185,மேலப்பருத்திக்குடி,வருவாய் கிராமம் ,195,2014,LS,ADMK,ADMK+,185
186,186,கீழப்பருத்திக்குடி,வருவாய் கிராமம் ,196,2014,LS,ADMK,ADMK+,228
187,187,முள்ளங்குடி,வருவாய் கிராமம் ,197,2014,LS,ADMK,ADMK+,71
188,188,கீழ்அதங்குடி,வருவாய் கிராமம் ,198,2014,LS,ADMK,ADMK+,133
189,189,எடையார்,வருவாய் கிராமம் ,199,2014,LS,ADMK,ADMK+,152
190,190,எடையார்,வருவாய் கிராமம் ,200,2014,LS,ADMK,ADMK+,195
191,191,ம.உடையூர்,வருவாய் கிராமம் ,201,2014,LS,ADMK,ADMK+,168
192,192,ம.உடையூர்,வருவாய் கிராமம் ,202,2014,LS,ADMK,ADMK+,207
193,193,மேல்ராதாமூர்,வருவாய் கிராமம் ,204,2014,LS,ADMK,ADMK+,167
194,194,அழிஞ்சிமங்கலம்,வருவாய் கிராமம் ,205,2014,LS,ADMK,ADMK+,79
195,195,மோவூர்,வருவாய் கிராமம் ,206,2014,LS,ADMK,ADMK+,125
196,196,மோவூர்,வருவாய் கிராமம் ,207,2014,LS,ADMK,ADMK+,143
197,197,செட்டித்தாங்கல்,வருவாய் கிராமம் ,209,2014,LS,ADMK,ADMK+,344
198,198,கண்டமங்கலம்,வருவாய் கிராமம் ,210,2014,LS,ADMK,ADMK+,141
199,199,கண்டமங்கலம்,வருவாய் கிராமம் ,211,2014,LS,ADMK,ADMK+,131
200,200,குருங்குடி,வருவாய் கிராமம் ,212,2014,LS,ADMK,ADMK+,122
201,201,குருங்குடி,வருவாய் கிராமம் ,213,2014,LS,ADMK,ADMK+,88
202,202,வீரானந்தபுரம்,வருவாய் கிராமம் ,214,2014,LS,ADMK,ADMK+,235
203,203,வீரானந்தபுரம்,வருவாய் கிராமம் ,215,2014,LS,ADMK,ADMK+,484
204,204,வீரானந்தபுரம்,வருவாய் கிராமம் ,216,2014,LS,ADMK,ADMK+,331
205,205,மேலக்கடம்பூர்,வருவாய் கிராமம் ,217,2014,LS,ADMK,ADMK+,154
206,206,கீழக்கடம்பூர்,வருவாய் கிராமம் ,218,2014,LS,ADMK,ADMK+,214
207,207,கீழக்கடம்பூர்,வருவாய் கிராமம் ,219,2014,LS,ADMK,ADMK+,177
208,208,தொரப்பு,வருவாய் கிராமம் ,220,2014,LS,ADMK,ADMK+,180
209,209,தொரப்பு,வருவாய் கிராமம் ,221,2014,LS,ADMK,ADMK+,108
210,210,ஷண்டன்,வருவாய் கிராமம் ,222,2014,LS,ADMK,ADMK+,169
211,211,டி.அருண்மொழிதேவன்,வருவாய் கிராமம் ,223,2014,LS,ADMK,ADMK+,124
212,212,ஈச்சம்பூண்டி,வருவாய் கிராமம் ,224,2014,LS,ADMK,ADMK+,53
213,213,சிறுகாட்டூர்,வருவாய் கிராமம் ,225,2014,LS,ADMK,ADMK+,207
214,214,கஞ்சங்கொல்லை,வருவாய் கிராமம் ,227,2014,LS,ADMK,ADMK+,220
215,215,கஞ்சங்கொல்லை,வருவாய் கிராமம் ,228,2014,LS,ADMK,ADMK+,119
216,216,நடு கஞ்சங்கொல்லை,வருவாய் கிராமம் ,229,2014,LS,ADMK,ADMK+,123
217,217,ஆச்சாள்புரம்,வருவாய் கிராமம் ,230,2014,LS,ADMK,ADMK+,109
218,218,எய்யலூர்,வருவாய் கிராமம் ,231,2014,LS,ADMK,ADMK+,282
219,219,ரெட்டியூர்,வருவாய் கிராமம் ,232,2014,LS,ADMK,ADMK+,220
220,220,ம.ஆதனூர்,வருவாய் கிராமம் ,233,2014,LS,ADMK,ADMK+,127
221,221,ஆயங்குடி,வருவாய் கிராமம் ,234,2014,LS,ADMK,ADMK+,152
222,222,ஆயங்குடி,வருவாய் கிராமம் ,235,2014,LS,ADMK,ADMK+,33
223,223,ஆயங்குடி,வருவாய் கிராமம் ,236,2014,LS,ADMK,ADMK+,81
224,224,குணவாசல்,வருவாய் கிராமம் ,237,2014,LS,ADMK,ADMK+,122
225,225,குணவாசல்,வருவாய் கிராமம் ,238,2014,LS,ADMK,ADMK+,93
226,226,ஓமாம்புலியூர்,வருவாய் கிராமம் ,239,2014,LS,ADMK,ADMK+,164
227,227,ஓமாம்புலியூர்,வருவாய் கிராமம் ,240,2014,LS,ADMK,ADMK+,128
228,228,முட்டம்,வருவாய் கிராமம் ,241,2014,LS,ADMK,ADMK+,83
229,229,முட்டம்,வருவாய் கிராமம் ,242,2014,LS,ADMK,ADMK+,52
230,230,கருப்பேரி,வருவாய் கிராமம் ,243,2014,LS,ADMK,ADMK+,181
231,231,கானாட்டாம்புலியூர்,வருவாய் கிராமம் ,244,2014,LS,ADMK,ADMK+,74
232,232,ஆழங்காத்தான்,வருவாய் கிராமம் ,246,2014,LS,ADMK,ADMK+,343
233,233,ம.புளியங்குடி,வருவாய் கிராமம் ,247,2014,LS,ADMK,ADMK+,171
234,234,ம.அரசூர்,வருவாய் கிராமம் ,248,2014,LS,ADMK,ADMK+,251
235,235,வெள்ளூர்,வருவாய் கிராமம் ,249,2014,LS,ADMK,ADMK+,139
236,236,சி.அரசூர்,வருவாய் கிராமம் ,250,2014,LS,ADMK,ADMK+,232
237,1,ஆனந்தகுடி,வருவாய் கிராமம் ,1,2014,LS,PMK,PMK,200
238,2,கொக்கரசன்பேட்டை,வருவாய் கிராமம் ,2,2014,LS,PMK,PMK,203
239,3,மதகளிர் மாணிக்கம்,வருவாய் கிராமம் ,3,2014,LS,PMK,PMK,210
240,4,எசனூர்,வருவாய் கிராமம் ,4,2014,LS,PMK,PMK,81
241,5,குணமங்கலம்,வருவாய் கிராமம் ,5,2014,LS,PMK,PMK,13
242,6,குணமங்கலம்,வருவாய் கிராமம் ,6,2014,LS,PMK,PMK,83
243,7,குணமங்கலம்,வருவாய் கிராமம் ,7,2014,LS,PMK,PMK,184
244,8,கள்ளிப்பாடி,வருவாய் கிராமம் ,8,2014,LS,PMK,PMK,166
245,9,ஸ்ரீபுத்தூர்,வருவாய் கிராமம் ,9,2014,LS,PMK,PMK,115
246,10,அம்புஜவல்லி பேட்டை,வருவாய் கிராமம் ,10,2014,LS,PMK,PMK,268
247,11,நகரப்பாடி,வருவாய் கிராமம் ,11,2014,LS,PMK,PMK,146
248,12,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,12,2014,LS,PMK,PMK,262
249,13,ஸ்ரீ நெடுஞ்சேரி,வருவாய் கிராமம் ,13,2014,LS,PMK,PMK,128
250,14,கூடலையாத்தூர்,வருவாய் கிராமம் ,14,2014,LS,PMK,PMK,245
251,15,காவாலக்குடி,வருவாய் கிராமம் ,15,2014,LS,PMK,PMK,105
252,16,காவாலக்குடி,வருவாய் கிராமம் ,16,2014,LS,PMK,PMK,271
253,17,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,17,2014,LS,PMK,PMK,227
254,18,முடிகண்டநல்லூர்,வருவாய் கிராமம் ,18,2014,LS,PMK,PMK,8
255,19,மழவராயநல்லூர்,வருவாய் கிராமம் ,19,2014,LS,PMK,PMK,195
256,20,மழவராயநல்லூர்,வருவாய் கிராமம் ,20,2014,LS,PMK,PMK,27
257,21,குமாரக்குடி,வருவாய் கிராமம் ,22,2014,LS,PMK,PMK,66
258,22,கோதண்டவிளாகம்,வருவாய் கிராமம் ,23,2014,LS,PMK,PMK,446
259,23,நங்குடி,வருவாய் கிராமம் ,25,2014,LS,PMK,PMK,319
260,24,விழுபெருந்துறை,வருவாய் கிராமம் ,26,2014,LS,PMK,PMK,155
261,25,வட்டத்தூர்,வருவாய் கிராமம் ,27,2014,LS,PMK,PMK,384
262,26,வட்டத்தூர்,வருவாய் கிராமம் ,28,2014,LS,PMK,PMK,210
263,27,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,29,2014,LS,PMK,PMK,188
264,28,நந்தீஸ்வரமங்கலம்,வருவாய் கிராமம் ,30,2014,LS,PMK,PMK,252
